heart_rate,steps,calories,distance,previous_heart_rate
96,45,0,30,87.0
91,110,1,78,120.0
81,6,0,4,81.0
83,106,1,72,106.0
89,105,2,76,79.0
125,94,1,67,85.0
81,3,0,1,81.0
88,114,1,81,82.0
81,109,1,73,81.0
100,2,1,2,90.0
75,106,2,76,75.0
90,53,0,34,80.0
107,110,1,74,107.0
91,117,1,79,91.0
100,35,0,24,100.0
71,102,2,68,71.0
93,3,0,2,69.0
71,1,1,1,97.0
84,2,0,2,94.0
137,108,2,75,111.0
92,112,2,79,92.0
116,98,2,66,107.0
80,7,1,5,80.0
72,98,1,66,80.0
103,101,1,65,103.0
85,115,2,81,96.0
120,50,0,31,65.0
98,106,2,76,98.0
107,122,4,88,107.0
97,109,2,74,97.0
74,8,1,6,74.0
91,23,0,16,102.0
86,106,1,71,77.0
89,97,1,65,89.0
103,49,0,31,96.0
118,12,1,9,108.0
116,20,0,14,116.0
94,30,1,22,86.0
94,86,1,55,127.0
107,117,3,84,80.0
88,52,0,35,88.0
101,107,1,74,94.0
82,113,2,81,82.0
88,108,2,73,107.0
115,111,1,78,96.0
77,109,1,74,77.0
106,103,1,69,111.0
131,105,2,74,131.0
102,99,1,64,102.0
85,114,3,83,85.0
109,87,4,62,107.0
84,94,1,63,82.0
103,26,1,18,103.0
82,116,1,81,86.0
106,15,0,9,106.0
84,8,0,5,84.0
90,100,2,70,83.0
71,9,1,7,61.0
123,78,2,53,103.0
103,120,1,84,103.0
96,24,0,16,91.0
83,75,2,55,83.0
115,106,2,73,105.0
106,103,1,69,95.0
77,103,1,69,102.0
87,105,1,71,87.0
112,1,0,1,112.0
111,110,2,78,111.0
117,94,2,64,56.0
98,94,1,67,98.0
95,110,2,76,95.0
130,62,0,41,130.0
102,38,0,25,102.0
86,29,0,19,97.0
91,17,0,12,76.0
103,19,0,12,101.0
119,126,2,89,119.0
95,16,0,11,95.0
111,53,2,37,111.0
90,21,1,14,72.0
80,109,2,76,76.0
70,71,0,47,70.0
69,25,0,16,77.0
81,1,0,0,81.0
115,110,1,77,115.0
121,115,1,82,121.0
97,37,1,26,97.0
101,109,2,75,122.0
80,3,1,3,80.0
103,26,1,19,109.0
75,8,1,6,83.0
94,95,1,64,94.0
91,122,2,86,89.0
84,89,0,56,84.0
102,102,1,68,133.0
76,6,1,5,74.0
84,75,0,48,87.0
91,104,2,72,91.0
89,85,2,61,81.0
87,34,0,22,87.0
90,106,1,71,102.0
85,12,0,8,85.0
99,12,0,8,99.0
82,118,2,81,82.0
88,93,1,62,88.0
83,41,0,28,83.0
69,31,0,19,69.0
89,116,2,79,79.0
92,102,1,70,92.0
117,119,1,81,117.0
75,6,0,4,75.0
85,79,0,50,86.0
97,80,1,55,90.0
104,14,1,9,88.0
87,16,0,11,87.0
93,116,2,83,93.0
83,43,0,28,105.0
122,104,1,73,122.0
89,21,0,14,89.0
94,67,1,46,97.0
141,124,2,88,141.0
85,12,1,8,92.0
95,50,0,34,86.0
82,53,1,37,82.0
90,16,1,11,90.0
82,95,1,65,82.0
70,5,1,4,63.0
84,12,1,8,109.0
83,103,2,69,83.0
92,68,1,48,106.0
