total_sleep_hour,bedtime_hour,wakeup_hour,steps,avg_heart_rate_evening,max_heart_rate_evening,sleep_quality
9.93,25.55,11.48,72,70.72,100,0
7.58,25.53,9.12,666,86.57,130,1
5.92,27.73,9.65,40,66.94,89,1
7.83,25.67,9.5,745,76.48,98,0
8.2,25.78,9.98,25,67.72,84,1
7.18,25.72,8.9,2651,90.58,122,1
4.4,24.68,5.08,173,80.21,112,1
6.98,26.97,9.95,886,85.7,123,0
7.18,25.87,9.05,718,79.05,126,0
10.65,23.25,9.9,34,67.06,86,0
9.07,25.87,10.93,48,67.17,77,0
7.52,25.6,9.12,639,77.74,94,1
7.37,25.32,8.68,1682,92.34,120,0
9.0,24.67,9.67,147,72.17,89,0
9.43,23.93,9.37,381,75.89,103,1
6.67,26.58,9.25,688,82.95,115,0
6.62,26.28,8.9,147,71.72,87,0
7.88,25.32,9.2,563,82.43,130,0
7.45,25.6,9.05,613,73.16,100,1
9.68,24.98,10.67,31,60.17,65,1
9.4,24.18,9.58,138,78.11,95,0
9.35,24.58,9.93,391,72.5,96,1
7.52,25.43,8.95,18,59.5,77,0
7.75,25.65,9.4,2810,97.8,144,0
7.45,25.68,9.13,94,69.74,100,0
7.93,25.6,9.53,1848,85.87,118,0
6.97,25.47,8.43,1135,87.29,135,1
9.95,24.07,10.02,122,70.94,98,0
9.75,24.27,10.02,53,74.44,106,1
6.5,26.62,9.12,738,88.67,111,1
7.05,26.3,9.35,1193,95.93,129,0
7.13,25.93,9.07,6,72.56,89,0
8.12,25.3,9.42,756,83.36,135,0
6.77,25.73,8.5,449,75.4,95,0
6.72,25.97,8.68,118,65.67,76,0
9.2,24.57,9.77,48,69.0,92,1
8.63,24.6,9.23,62,70.5,86,1
7.82,25.52,9.33,2452,96.51,133,0
8.22,24.37,8.58,1559,96.62,144,0
7.85,25.17,9.02,199,79.83,105,0
8.57,25.13,9.7,148,76.39,82,0
8.57,24.72,9.28,213,74.56,91,1
8.92,24.42,9.33,131,69.89,84,1
9.25,24.18,9.43,342,74.28,94,1
9.02,23.72,8.73,229,74.89,86,1
8.67,24.45,9.12,17,74.06,100,1
8.63,24.38,9.02,1245,85.1,121,0
9.25,24.22,9.47,186,72.78,86,1
9.48,23.98,9.47,110,75.94,90,1
8.7,24.48,9.18,251,78.0,104,0
9.15,22.75,7.9,1130,84.48,119,1
7.23,23.2,6.43,897,81.32,106,1
7.55,21.95,5.5,2573,90.28,132,0
7.37,21.78,5.15,2076,97.34,149,1
6.82,22.57,5.38,253,77.21,113,1
5.12,23.58,4.7,170,72.44,88,0
11.17,24.42,11.58,129,78.44,109,1
9.85,24.02,9.87,13,91.33,108,1
8.55,24.63,9.18,41,68.83,78,1
7.55,24.93,8.48,79,66.33,85,1
10.13,24.07,10.2,91,68.33,83,1
8.33,25.08,9.42,42,65.06,91,1
9.43,25.18,10.62,379,82.55,111,0
9.28,24.35,9.63,411,80.72,104,0
8.47,26.13,10.6,298,72.72,90,1
7.38,25.98,9.37,829,85.73,125,0
7.92,26.13,10.05,318,78.65,127,1
7.2,26.33,9.53,44,72.67,84,0
8.57,25.45,10.02,120,78.22,102,0
10.95,25.0,11.95,25,73.89,94,1
9.55,24.0,9.55,113,75.65,111,1
8.22,25.45,9.67,295,74.45,100,0
8.07,25.15,9.22,1052,81.68,130,0
7.18,26.57,9.75,189,66.78,81,0
7.5,26.18,9.68,210,66.89,82,1
7.05,25.98,9.03,48,70.17,89,0
8.08,25.73,9.82,240,72.78,94,1
7.62,25.57,9.18,55,69.72,86,0
9.27,24.97,10.23,173,71.05,89,1
6.73,26.28,9.02,317,68.55,90,1
8.73,24.92,9.65,1886,84.35,121,0
3.37,28.83,8.2,0,63.72,69,0
7.45,24.85,8.3,86,80.22,104,0
10.67,24.52,11.18,82,84.44,99,0
9.0,24.22,9.22,76,76.72,89,1
7.0,26.35,9.35,70,83.32,109,1
7.33,26.07,9.4,13,69.85,96,0
